activiteitnaam,bewindspersoon,datum,locatie,subtitel,type,url
Werkbezoek preventieve aanpak ondermijning,Dilan Yeşilgöz-Zegerius,2022-06-08,Utrecht,,Werkbezoek,/actueel/agenda/2022/06/08/werkbezoek-preventieve-aanpak-ondermijning
Debat wijziging faillissementswet,Franc Weerwind,2022-06-08,Den Haag,,Kamervergadering,/actueel/agenda/2022/06/08/debat-wijziging-v.d.-faillissementswet
Commissiedebat Regionale luchthavens,Mark Harbers,2022-06-08,Den Haag,,Kamervergadering,/actueel/agenda/2022/06/08/commissiedebat-regionale-luchthavens
Gesprek met werkgroep Nationaal Monument Srebrenica Genocide,Kajsa Ollongren,2022-06-08,Den Haag,Minister voerde een kennismakingsgesprek met de leden van de werkgroep.,Gesprek,/actueel/agenda/2022/06/08/gesprek-met-werkgroep-nationaal-monument-srebrenica-genocide
"Gesprek over Actieprogramma preventie geldzorgen, armoede en schulden","Carola Schouten, Hugo de Jonge",2022-06-08,Via communicatietechnologie,"Minister De Jonge heeft een gesprek met minister Schouten over Actieprogramma preventie geldzorgen, armoede en schulden.",Gesprek,/actueel/agenda/2022/06/08/gesprek-over-actieprogramma-preventie-geldzorgen-armoede-en-schulden
Werkbezoeken staatssecretaris Van Ooijen,Maarten van Ooijen,2022-06-08,"Nieuwkuijk, Diemen",Staatssecretaris Van Ooijen bezoekt:  Landelijke dag JeugdWelzijnsBeraad in Nieuwkuijk Stichting Arq (oorlogsgetroffenen) ...,Werkbezoek,/actueel/agenda/2022/06/08/werkbezoeken-staatssecretaris-van-ooijen
Gesprekken staatssecretaris Van Ooijen,Maarten van Ooijen,2022-06-08,Via communicatietechnologie,Staatssecretaris Van Ooijen maakt kennis met: mensen van de Augeo foundation  voorzitter VNO-NCW ,Gesprek,/actueel/agenda/2022/06/08/gesprekken-staatssecretaris-van-ooijen
Informatiebijeenkomst Stakeholders beleidsprogramma Klimaat en Energie,Hugo de Jonge,2022-06-08,Den Haag,Minister De Jonge spreekt bij de Informatiebijeenkomst Stakeholders beleidsprogramma Klimaat en Energie.,Evenement,/actueel/agenda/2022/06/08/informatiebijeenkomst-stakeholders-beleidsprogramma-klimaat-en-energie
"Gesprek met Raad van State, VNG, IPO en Unie van Waterschappen",Hanke Bruins Slot,2022-06-08,Den Haag,"Minister Bruins Slot heeft, samen met staatssecretaris Van Rij, een gesprek met de Raad van State, de VNG, IPO en de Unie van ...",Gesprek,/actueel/agenda/2022/06/08/gesprek-met-raad-van-state-vng-ipo-en-unie-van-waterschappen
Gesprek over bestuurlijk financiële verhoudingen,Hanke Bruins Slot,2022-06-08,telefonisch,Minister Bruins Slot heeft een gesprek met staatssecretaris van Rij van Financiën over bestuurlijk financiële verhoudingen.,Gesprek,/actueel/agenda/2022/06/08/gesprek-over-bestuurlijk-financiele-verhoudingen
